PONOT2026022140400JYVÄSKYLÄ                     JYVÄSKYLÄ                     JKL                     199702241FI193Keski-Suomi                   Mellersta Finland             179Jyväskylä           Jyväskylä           1
PONOT2026022144170HIETAMA                       HIETAMA                                               198601011FI193Keski-Suomi                   Mellersta Finland             992Äänekoski           Äänekoski           1
PONOT2026022163920INHA                          INHA                                                  198811011FI194Etelä-Pohjanmaa               Södra Österbotten             989Ähtäri              Etseri              1
PONOT2026022168920FORSBY                        FORSBY                                                198610011FI195Pohjanmaa                     Österbotten                   599Pedersöre           Pedersöre           1
PONOT2026022191750LIMINPURO                     LIMINPURO                                             198601011FI1D9Pohjois-Pohjanmaa             Norra Österbotten             785Vaala               Vaala               1
PONOT2026022195410TORNIO                        TORNIO                                                200901011FI1D7Lappi                         Lappland                      851Tornio              Torneå              1
PONOT2026022195640JUOKSENKI                     JUOKSENKI                                             198601011FI1D7Lappi                         Lappland                      854Pello               Pello               1
PONOT2026022100022TILASTOKESKUS                 STATISTIKCENTRALEN            TILASTOK                199401013FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2026022100760HELSINKI                      HELSINGFORS                   HKI         HFORS       199512091FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            091Helsinki            Helsingfors         2
PONOT2026022102320ESPOO                         ESBO                                                  198810011FI1B1Helsinki-Uusimaa              Helsingfors-Nyland            049Espoo               Esbo                2
PONOT2026022121660NAUVO                         NAGU                                                  198811011FI1C1Varsinais-Suomi               Egentliga Finland             445Parainen            Pargas              2
PONOT2026022126930VERMUNTILA                    VERMUNTILA                                            198601011FI196Satakunta                     Satakunda                     684Rauma               Raumo               1
PONOT2026022131380LETKU                         LETKU                                                 198808221FI1C2Kanta-Häme                    Egentliga Tavastland          834Tammela             Tammela             1
PONOT2026022134510LUODE                         LUODE                                                 198601011FI197Pirkanmaa                     Birkaland                     980Ylöjärvi            Ylöjärvi            1
PONOT2026022152980AHVENAINEN                    AHVENAINEN                                            198601011FI1D1Etelä-Savo                    Södra Savolax                 507Mäntyharju          Mäntyharju          1
PONOT2026022162720SISSALA                       SISSALA                                               199005011FI194Etelä-Pohjanmaa               Södra Österbotten             005Alajärvi            Alajärvi            1
PONOT2026022189110TÖRMÄNMÄKI                    TÖRMÄNMÄKI                                            198601011FI1D8Kainuu                        Kajanaland                    620Puolanka            Puolanka            1
PONOT2026022192180LAPALUOTO                     LAPALUOTO                                             198811011FI1D9Pohjois-Pohjanmaa             Norra Österbotten             678Raahe               Brahestad           1
